Number,Make,Model,Year,Price,Mileage,Body Type,Cylinders,Transmission,Fuel Type,Color,Location,Description
4339,Land-Rover,Range-Rover,2018,172766.25,245608,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2018 land-rover range-rover with Sunroof, Navigation system, Rear camera. Condition: No damage."
4340,Land-Rover,Range-Rover,2009,40618.26,279938,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2009 land-rover range-rover with Leather seats, Sunroof. Condition: No damage."
4341,Land-Rover,Range-Rover,2019,55823.85,47875,SUV,8,Automatic Transmission,Gasoline,Black, Ajman,"2019 land-rover range-rover with Navigation system, Sunroof. Condition: No damage."
4342,Land-Rover,Range-Rover-Sport,2005,133956.99,181111,SUV,0,Automatic Transmission,Gasoline,Grey, Dubai,"2005 land-rover range-rover-sport with Bluetooth, Sunroof. Condition: Repainted bumper."
4343,Land-Rover,Range-Rover-Sport,2011,124353.09,203293,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2011 land-rover range-rover-sport with Rear camera, Sunroof. Condition: No damage."
4344,Land-Rover,Range-Rover,2009,42417,98463,SUV,8,Automatic Transmission,Gasoline,Gold, Dubai,"2009 land-rover range-rover with Bluetooth, Navigation system, Rear camera. Condition: Accident history."
4345,Land-Rover,Range-Rover-Sport,2011,5848.74,61835,Sports Car,8,Automatic Transmission,Gasoline,Silver, Sharjah,"2011 land-rover range-rover-sport with Bluetooth, Sunroof, Navigation system, Rear camera. Condition: No damage."
4346,Land-Rover,Range-Rover,2013,121731.93,93446,SUV,6,Automatic Transmission,Gasoline,Blue, Dubai,"2013 land-rover range-rover with Leather seats, Navigation system, Rear camera. Condition: Minor scratches."
4347,Land-Rover,Range-Rover-Sport,2008,29598.75,213630,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2008 land-rover range-rover-sport with Navigation system, Sunroof, Rear camera, Adaptive cruise control. Condition: Repainted bumper."
4348,Land-Rover,Lr2,2022,3748.41,62415,SUV,6,Automatic Transmission,Gasoline,White, Abu Dhabi,"2022 land-rover lr2 with Leather seats, Rear camera, Navigation system. Condition: Dented door."
4349,Land-Rover,Lr3,2008,4864.86,275293,SUV,8,Automatic Transmission,Gasoline,Silver, Abu Dhabi,"2008 land-rover lr3 with Bluetooth, Navigation system. Condition: Engine repaired."
4350,Land-Rover,Range-Rover,2023,128066.94,14623,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2023 land-rover range-rover with Bluetooth, Sunroof. Condition: Dented door."
4351,Land-Rover,Lr4,2019,30402.27,205207,SUV,6,Automatic Transmission,Gasoline,Gold, Dubai,"2019 land-rover lr4 with Sunroof, Bluetooth, Rear camera. Condition: Dented door."
4352,Land-Rover,Range-Rover,2023,24991.47,139800,SUV,8,Automatic Transmission,Gasoline,Gold, Abu Dhabi,"2023 land-rover range-rover with Navigation system, Bluetooth, Rear camera, Leather seats. Condition: Accident history."
4353,Land-Rover,Range-Rover,2016,39252.6,134591,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2016 land-rover range-rover with Sunroof, Rear camera, Navigation system, Bluetooth. Condition: Minor scratches."
4354,Land-Rover,Range-Rover-Sport,2017,39767.76,270874,SUV,8,Automatic Transmission,Gasoline,White, Abu Dhabi,"2017 land-rover range-rover-sport with Rear camera, Sunroof, Bluetooth, Navigation system. Condition: Minor scratches."
4355,Land-Rover,Range-Rover,2021,85105.35,71778,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2021 land-rover range-rover with Bluetooth, Navigation system, Adaptive cruise control. Condition: Repainted bumper."
4356,Land-Rover,Range-Rover-Sport,2008,18194.22,59009,SUV,8,Automatic Transmission,Gasoline,Red, Dubai,"2008 land-rover range-rover-sport with Adaptive cruise control, Navigation system. Condition: Engine repaired."
4357,Land-Rover,Range-Rover,2022,78581.61,130456,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2022 land-rover range-rover with Sunroof, Adaptive cruise control, Bluetooth, Navigation system. Condition: Engine repaired."
4358,Land-Rover,Range-Rover,2016,90432.72,268166,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2016 land-rover range-rover with Leather seats, Adaptive cruise control, Bluetooth. Condition: Dented door."
4359,Land-Rover,Range-Rover,2011,37352.07,193310,SUV,8,Automatic Transmission,Gasoline,Gold, Ajman,"2011 land-rover range-rover with Sunroof, Navigation system, Rear camera. Condition: Minor scratches."
4360,Land-Rover,Range-Rover,2022,9852.03,55948,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2022 land-rover range-rover with Bluetooth, Adaptive cruise control, Navigation system, Leather seats. Condition: Minor scratches."
4361,Land-Rover,Range-Rover-Evoque,2011,56106,122357,Soft Top Convertible,4,Automatic Transmission,Gasoline,Orange, Dubai,"2011 land-rover range-rover-evoque with Sunroof, Navigation system, Adaptive cruise control. Condition: Minor scratches."
4362,Land-Rover,Range-Rover,2008,8852.49,97519,SUV,8,Automatic Transmission,Gasoline,Silver, Dubai,"2008 land-rover range-rover with Adaptive cruise control, Bluetooth, Sunroof. Condition: Engine repaired."
4363,Land-Rover,Range-Rover-Sport,2023,50909.85,108366,SUV,8,Automatic Transmission,Gasoline,Red, Dubai,"2023 land-rover range-rover-sport with Leather seats, Navigation system, Bluetooth. Condition: Accident history."
4364,Land-Rover,Range-Rover-Evoque,2013,22013.1,96407,Hatchback,4,Automatic Transmission,Gasoline,White, Dubai,"2013 land-rover range-rover-evoque with Leather seats, Sunroof, Adaptive cruise control. Condition: Dented door."
4365,Land-Rover,Range-Rover-Sport,2009,41847.57,246743,SUV,6,Automatic Transmission,Gasoline,Black, Sharjah,"2009 land-rover range-rover-sport with Leather seats, Adaptive cruise control. Condition: Accident history."
4366,Land-Rover,Range-Rover,2013,351712.8,129329,SUV,6,Automatic Transmission,Gasoline,Beige, Al Ain,"2013 land-rover range-rover with Leather seats, Rear camera, Adaptive cruise control, Navigation system. Condition: Minor scratches."
4367,Land-Rover,Range-Rover-Velar,2021,42547.95,122429,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2021 land-rover range-rover-velar with Bluetooth, Rear camera, Navigation system, Adaptive cruise control. Condition: Minor scratches."
4368,Land-Rover,Range-Rover,2022,158633.91,272801,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2022 land-rover range-rover with Navigation system, Adaptive cruise control. Condition: No damage."
4369,Land-Rover,Discovery,2020,4927.23,223544,SUV,8,Automatic Transmission,Gasoline,Blue, Dubai,"2020 land-rover discovery with Bluetooth, Rear camera. Condition: Minor scratches."
4370,Land-Rover,Range-Rover-Sport,2018,43677.36,213977,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2018 land-rover range-rover-sport with Leather seats, Navigation system, Sunroof. Condition: No damage."
4371,Land-Rover,Range-Rover-Sport,2017,47925.54,12676,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2017 land-rover range-rover-sport with Sunroof, Navigation system, Leather seats. Condition: Minor scratches."
4372,Land-Rover,Range-Rover-Sport,2019,10705.77,225281,SUV,8,Automatic Transmission,Gasoline,Brown, Dubai,"2019 land-rover range-rover-sport with Adaptive cruise control, Leather seats, Sunroof. Condition: No damage."
4373,Land-Rover,Range-Rover-Evoque,2018,32202.9,116875,SUV,4,Automatic Transmission,Gasoline,Black, Dubai,"2018 land-rover range-rover-evoque with Adaptive cruise control, Navigation system. Condition: Dented door."
4374,Land-Rover,Discovery,2023,46813.95,18646,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai,"2023 land-rover discovery with Sunroof, Adaptive cruise control, Leather seats. Condition: Accident history."
4375,Land-Rover,Range-Rover-Velar,2013,73229.94,87978,SUV,6,Automatic Transmission,Gasoline,Gold, Sharjah,"2013 land-rover range-rover-velar with Rear camera, Bluetooth, Adaptive cruise control. Condition: Repainted bumper."
4376,Land-Rover,Lr3,2008,4723.92,264819,SUV,8,Automatic Transmission,Gasoline,Silver, Abu Dhabi,"2008 land-rover lr3 with Bluetooth, Rear camera. Condition: Minor scratches."
4377,Land-Rover,Lr4,2009,14971.23,219417,SUV,8,Automatic Transmission,Gasoline,Black, Abu Dhabi,"2009 land-rover lr4 with Navigation system, Adaptive cruise control, Rear camera. Condition: Dented door."
4378,Land-Rover,Range-Rover,2016,5764.77,199236,SUV,8,Automatic Transmission,Gasoline,Green, Dubai,"2016 land-rover range-rover with Navigation system, Bluetooth, Sunroof, Rear camera. Condition: Accident history."
4379,Land-Rover,Range-Rover-Sport,2009,69345.18,153054,Crossover,8,Automatic Transmission,Gasoline,Black, Dubai,"2009 land-rover range-rover-sport with Rear camera, Sunroof, Adaptive cruise control. Condition: Repainted bumper."
4380,Land-Rover,Range-Rover,2013,354609.09,278974,SUV,8,Automatic Transmission,Gasoline,Gold, Dubai,"2013 land-rover range-rover with Adaptive cruise control, Navigation system, Bluetooth, Sunroof. Condition: No damage."
4381,Land-Rover,Defender,2008,21960.18,159552,Other,4,Manual Transmission,Diesel,Beige,Dubai,"2008 land-rover defender with Navigation system, Bluetooth, Rear camera, Leather seats. Condition: Repainted bumper."
4382,Land-Rover,Range-Rover-Sport,2018,18542.52,283331,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2018 land-rover range-rover-sport with Adaptive cruise control, Sunroof, Leather seats, Bluetooth. Condition: Minor scratches."
4383,Land-Rover,Range-Rover-Sport,2020,174825,163830,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2020 land-rover range-rover-sport with Rear camera, Leather seats, Adaptive cruise control, Sunroof. Condition: Minor scratches."
4384,Land-Rover,Range-Rover-Sport,2010,216792.99,93790,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2010 land-rover range-rover-sport with Adaptive cruise control, Leather seats, Navigation system. Condition: Dented door."
4385,Land-Rover,Defender,2021,59661.9,174024,Crossover,4,Manual Transmission,Gasoline,Black, Dubai,"2021 land-rover defender with Rear camera, Navigation system, Bluetooth, Leather seats. Condition: Minor scratches."
4386,Land-Rover,Range-Rover-Sport,2007,47572.11,206935,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2007 land-rover range-rover-sport with Navigation system, Bluetooth. Condition: Dented door."
4387,Land-Rover,Range-Rover,2005,54833.76,201875,SUV,8,Automatic Transmission,Gasoline,Red, Dubai,"2005 land-rover range-rover with Sunroof, Bluetooth, Navigation system. Condition: Repainted bumper."
4388,Land-Rover,Defender,2006,125596.71,103558,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2006 land-rover defender with Sunroof, Navigation system. Condition: Repainted bumper."
4389,Land-Rover,Range-Rover,2020,60225.93,110164,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2020 land-rover range-rover with Navigation system, Rear camera. Condition: Minor scratches."
4390,Land-Rover,Range-Rover-Sport,2013,35174.52,113092,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2013 land-rover range-rover-sport with Navigation system, Rear camera. Condition: Repainted bumper."
4391,Land-Rover,Range-Rover,2006,56953.53,17647,Crossover,8,Automatic Transmission,Gasoline,White, Dubai,"2006 land-rover range-rover with Bluetooth, Sunroof. Condition: Repainted bumper."
4392,Land-Rover,Range-Rover,2007,46146.24,260967,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2007 land-rover range-rover with Bluetooth, Navigation system, Adaptive cruise control, Leather seats. Condition: Accident history."
4393,Land-Rover,Range-Rover-Sport,2021,17172.54,145529,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2021 land-rover range-rover-sport with Leather seats, Sunroof. Condition: Accident history."
4394,Land-Rover,Range-Rover,2022,51566.76,71100,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2022 land-rover range-rover with Rear camera, Adaptive cruise control, Bluetooth. Condition: Minor scratches."
4395,Land-Rover,Range-Rover,2015,145555.38,152947,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2015 land-rover range-rover with Navigation system, Leather seats, Adaptive cruise control, Bluetooth. Condition: No damage."
4396,Land-Rover,Range-Rover,2016,96938.64,120580,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai,"2016 land-rover range-rover with Adaptive cruise control, Bluetooth. Condition: Repainted bumper."
4397,Land-Rover,Range-Rover,2016,104464.89,279715,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2016 land-rover range-rover with Bluetooth, Rear camera, Sunroof. Condition: Engine repaired."
4398,Land-Rover,Range-Rover-Sport,2021,21885.66,233699,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2021 land-rover range-rover-sport with Leather seats, Sunroof, Bluetooth, Rear camera. Condition: Dented door."
4399,Land-Rover,Range-Rover-Sport,2010,76186.44,37803,SUV,8,Automatic Transmission,Gasoline,Blue, Dubai,"2010 land-rover range-rover-sport with Leather seats, Sunroof, Bluetooth, Navigation system. Condition: Repainted bumper."
4400,Land-Rover,Range-Rover-Sport,2020,35333.28,214794,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2020 land-rover range-rover-sport with Leather seats, Navigation system. Condition: Accident history."
4401,Land-Rover,Range-Rover,2011,93533.4,256274,Crossover,8,Automatic Transmission,Gasoline,Grey, Dubai,"2011 land-rover range-rover with Leather seats, Bluetooth. Condition: Accident history."
4402,Land-Rover,Range-Rover,2007,42895.71,207799,Wagon,8,Automatic Transmission,Gasoline,White, Sharjah,"2007 land-rover range-rover with Bluetooth, Adaptive cruise control, Leather seats. Condition: Repainted bumper."
4403,Land-Rover,Range-Rover-Velar,2022,71273.52,129824,SUV,6,Automatic Transmission,Diesel,Black, Dubai,"2022 land-rover range-rover-velar with Bluetooth, Sunroof, Leather seats. Condition: Minor scratches."
4404,Land-Rover,Lr2,2017,11934,150688,SUV,4,Automatic Transmission,Gasoline,Silver, Dubai,"2017 land-rover lr2 with Rear camera, Adaptive cruise control, Navigation system, Bluetooth. Condition: Engine repaired."
4405,Land-Rover,Range-Rover-Sport,2014,20190.33,63089,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2014 land-rover range-rover-sport with Navigation system, Bluetooth, Leather seats, Sunroof. Condition: Dented door."
4406,Land-Rover,Range-Rover,2005,44409.6,286125,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2005 land-rover range-rover with Navigation system, Adaptive cruise control, Sunroof. Condition: Dented door."
4407,Land-Rover,Lr2,2018,3645.27,195223,SUV,6,Automatic Transmission,Gasoline,White, Abu Dhabi,"2018 land-rover lr2 with Leather seats, Adaptive cruise control, Bluetooth, Rear camera. Condition: Minor scratches."
4408,Land-Rover,Range-Rover-Evoque,2023,40733.55,94724,Soft Top Convertible,4,Automatic Transmission,Gasoline,Black, Dubai,"2023 land-rover range-rover-evoque with Adaptive cruise control, Rear camera, Sunroof, Bluetooth. Condition: Dented door."
4409,Land-Rover,Range-Rover,2009,14269.23,49289,SUV,8,Automatic Transmission,Gasoline,Blue, Dubai,"2009 land-rover range-rover with Navigation system, Bluetooth. Condition: No damage."
4410,Land-Rover,Range-Rover,2011,86638.14,168085,SUV,8,Automatic Transmission,Gasoline,Silver, Dubai,"2011 land-rover range-rover with Sunroof, Navigation system. Condition: Dented door."
4411,Land-Rover,Range-Rover,2008,60419.52,105681,SUV,8,Automatic Transmission,Gasoline,Red, Dubai,"2008 land-rover range-rover with Bluetooth, Leather seats. Condition: Minor scratches."
4412,Land-Rover,Range-Rover-Sport,2024,68010.57,53738,SUV,8,Automatic Transmission,Gasoline,Red, Dubai,"2024 land-rover range-rover-sport with Adaptive cruise control, Rear camera, Navigation system. Condition: Dented door."
4413,Land-Rover,Range-Rover-Velar,2009,51434.73,99439,SUV,4,Automatic Transmission,Gasoline,Black, Sharjah,"2009 land-rover range-rover-velar with Adaptive cruise control, Leather seats, Bluetooth. Condition: Dented door."
4414,Land-Rover,Range-Rover-Sport,2013,84626.37,255862,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2013 land-rover range-rover-sport with Navigation system, Sunroof. Condition: No damage."
4415,Land-Rover,Range-Rover-Sport,2006,15004.44,183442,SUV,8,Automatic Transmission,Gasoline,Green, Sharjah,"2006 land-rover range-rover-sport with Navigation system, Bluetooth, Adaptive cruise control, Rear camera. Condition: Engine repaired."
4416,Land-Rover,Range-Rover,2020,167306.31,242479,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2020 land-rover range-rover with Adaptive cruise control, Bluetooth, Rear camera, Navigation system. Condition: Dented door."
4417,Land-Rover,Range-Rover,2009,41165.01,197061,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2009 land-rover range-rover with Sunroof, Bluetooth, Navigation system. Condition: No damage."
4418,Land-Rover,Lr2,2020,10183.32,144631,SUV,4,Automatic Transmission,Gasoline,Black, Dubai,"2020 land-rover lr2 with Sunroof, Leather seats, Rear camera. Condition: Dented door."
4419,Land-Rover,Range-Rover-Evoque,2013,19121.13,266603,Crossover,4,Automatic Transmission,Gasoline,Red, Dubai,"2013 land-rover range-rover-evoque with Rear camera, Bluetooth, Adaptive cruise control. Condition: Accident history."
4420,Land-Rover,Range-Rover,2016,92216.07,98191,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2016 land-rover range-rover with Rear camera, Bluetooth. Condition: Accident history."
4421,Land-Rover,Range-Rover-Velar,2024,80453.25,73060,SUV,4,Automatic Transmission,Gasoline,Black, Dubai,"2024 land-rover range-rover-velar with Bluetooth, Leather seats. Condition: Repainted bumper."
4422,Land-Rover,Defender,2011,113563.08,219035,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2011 land-rover defender with Sunroof, Leather seats, Rear camera, Navigation system. Condition: Repainted bumper."
4423,Land-Rover,Range-Rover,2014,125334.27,188681,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2014 land-rover range-rover with Sunroof, Leather seats, Bluetooth. Condition: Accident history."
4424,Land-Rover,Range-Rover-Sport,2015,113986.44,24667,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2015 land-rover range-rover-sport with Leather seats, Bluetooth. Condition: Accident history."
4425,Land-Rover,Range-Rover,2020,52569.54,246744,Crossover,8,Automatic Transmission,Gasoline,White, Dubai,"2020 land-rover range-rover with Sunroof, Rear camera, Adaptive cruise control. Condition: Engine repaired."
4426,Land-Rover,Range-Rover,2024,183285.72,237947,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2024 land-rover range-rover with Leather seats, Sunroof. Condition: No damage."
4427,Land-Rover,Range-Rover-Sport,2009,144457.29,237736,SUV,6,Automatic Transmission,Gasoline,Blue, Dubai,"2009 land-rover range-rover-sport with Sunroof, Adaptive cruise control, Leather seats, Bluetooth. Condition: Engine repaired."
4428,Land-Rover,Defender,2022,197772.03,263883,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2022 land-rover defender with Rear camera, Sunroof, Navigation system, Adaptive cruise control. Condition: Accident history."
4429,Land-Rover,Range-Rover-Sport,2022,59934.87,252651,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2022 land-rover range-rover-sport with Leather seats, Rear camera. Condition: Engine repaired."
4430,Land-Rover,Range-Rover,2009,48819.78,194818,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2009 land-rover range-rover with Leather seats, Navigation system, Bluetooth, Sunroof. Condition: Minor scratches."
4431,Land-Rover,Range-Rover,2012,44340.48,281780,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2012 land-rover range-rover with Bluetooth, Leather seats. Condition: No damage."
4432,Land-Rover,Range-Rover-Sport,2005,154137.33,55051,SUV,8,Automatic Transmission,Gasoline,Blue, Dubai,"2005 land-rover range-rover-sport with Bluetooth, Leather seats, Adaptive cruise control. Condition: Repainted bumper."
4433,Land-Rover,Range-Rover,2014,11240.1,117439,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2014 land-rover range-rover with Sunroof, Leather seats. Condition: Accident history."
4434,Land-Rover,Range-Rover-Sport,2010,174053.34,130716,SUV,8,Automatic Transmission,Gasoline,Blue, Dubai,"2010 land-rover range-rover-sport with Adaptive cruise control, Leather seats. Condition: Dented door."
4435,Land-Rover,Range-Rover-Velar,2022,65885.13,286398,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2022 land-rover range-rover-velar with Leather seats, Rear camera, Sunroof, Navigation system. Condition: No damage."
4436,Land-Rover,Range-Rover,2019,66938.4,262465,SUV,5,Automatic Transmission,Gasoline,White, Dubai,"2019 land-rover range-rover with Bluetooth, Adaptive cruise control. Condition: Minor scratches."
4437,Land-Rover,Defender,2023,209193.57,12096,SUV,8,Automatic Transmission,Gasoline,Black, Abu Dhabi,"2023 land-rover defender with Rear camera, Adaptive cruise control. Condition: Engine repaired."
4438,Land-Rover,Range-Rover-Evoque,2019,20193.3,116032,Hatchback,4,Automatic Transmission,Gasoline,White, Dubai,"2019 land-rover range-rover-evoque with Adaptive cruise control, Navigation system, Leather seats. Condition: Minor scratches."
4439,Land-Rover,Range-Rover-Sport,2018,21058.38,138342,SUV,8,Automatic Transmission,Gasoline,Silver, Dubai,"2018 land-rover range-rover-sport with Adaptive cruise control, Sunroof, Leather seats. Condition: Accident history."
4440,Land-Rover,Range-Rover-Sport,2006,77491.62,192346,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2006 land-rover range-rover-sport with Rear camera, Bluetooth, Navigation system, Sunroof. Condition: Accident history."
4441,Land-Rover,Range-Rover-Evoque,2024,17576.19,256578,SUV,4,Automatic Transmission,Gasoline,Black, Dubai,"2024 land-rover range-rover-evoque with Bluetooth, Sunroof, Rear camera. Condition: Dented door."
4442,Land-Rover,Range-Rover-Sport,2012,18912.15,37169,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2012 land-rover range-rover-sport with Bluetooth, Rear camera, Sunroof. Condition: Engine repaired."
4443,Land-Rover,Range-Rover-Evoque,2016,37035.09,237303,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2016 land-rover range-rover-evoque with Rear camera, Navigation system, Leather seats, Bluetooth. Condition: No damage."
4444,Land-Rover,Defender,2007,56353.05,38568,SUV,6,Automatic Transmission,Diesel,Black, Dubai,"2007 land-rover defender with Adaptive cruise control, Sunroof, Rear camera, Bluetooth. Condition: No damage."
4445,Land-Rover,Range-Rover-Sport,2018,52730.46,135429,SUV,6,Automatic Transmission,Gasoline,Gold, Dubai,"2018 land-rover range-rover-sport with Sunroof, Rear camera. Condition: No damage."
4446,Land-Rover,Range-Rover-Sport,2010,14027.85,260011,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2010 land-rover range-rover-sport with Bluetooth, Leather seats, Rear camera. Condition: Accident history."
4447,Land-Rover,Discovery-Sport,2013,17659.08,74445,Crossover,0,Automatic Transmission,Gasoline,Black, Dubai,"2013 land-rover discovery-sport with Adaptive cruise control, Bluetooth, Sunroof, Rear camera. Condition: Engine repaired."
4448,Land-Rover,Range-Rover-Evoque,2015,22466.97,265836,Hatchback,4,Automatic Transmission,Gasoline,White, Dubai,"2015 land-rover range-rover-evoque with Bluetooth, Sunroof, Navigation system, Rear camera. Condition: Minor scratches."
4449,Land-Rover,Range-Rover,2011,57379.59,136030,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2011 land-rover range-rover with Sunroof, Navigation system, Rear camera, Bluetooth. Condition: Repainted bumper."
4450,Land-Rover,Range-Rover-Velar,2012,63484.29,214752,SUV,4,Automatic Transmission,Gasoline,Black, Dubai,"2012 land-rover range-rover-velar with Rear camera, Navigation system, Adaptive cruise control. Condition: Dented door."
4451,Land-Rover,Range-Rover-Sport,2013,39974.85,137388,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2013 land-rover range-rover-sport with Bluetooth, Sunroof, Leather seats, Rear camera. Condition: Repainted bumper."
4452,Land-Rover,Lr4,2016,12222.09,156014,SUV,8,Automatic Transmission,Gasoline,Red, Abu Dhabi,"2016 land-rover lr4 with Bluetooth, Adaptive cruise control, Navigation system, Rear camera. Condition: Minor scratches."
4453,Land-Rover,Range-Rover-Sport,2015,68255.46,192172,SUV,8,Automatic Transmission,Gasoline,Blue, Dubai,"2015 land-rover range-rover-sport with Adaptive cruise control, Rear camera, Leather seats. Condition: Dented door."
4454,Land-Rover,Range-Rover,2023,65846.25,166038,SUV,8,Automatic Transmission,Gasoline,Brown, Dubai,"2023 land-rover range-rover with Navigation system, Leather seats. Condition: Minor scratches."
4455,Land-Rover,Range-Rover-Velar,2007,73020.69,245703,SUV,6,Automatic Transmission,Gasoline,Gold, Sharjah,"2007 land-rover range-rover-velar with Leather seats, Rear camera, Navigation system. Condition: Dented door."
4456,Land-Rover,Range-Rover,2019,49159.17,35648,SUV,8,Automatic Transmission,Gasoline,Red, Dubai,"2019 land-rover range-rover with Navigation system, Leather seats, Bluetooth. Condition: Repainted bumper."
4457,Land-Rover,Range-Rover,2013,84881.79,175281,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2013 land-rover range-rover with Sunroof, Bluetooth, Rear camera. Condition: Minor scratches."
4458,Land-Rover,Range-Rover-Sport,2005,64695.24,180083,SUV,8,Automatic Transmission,Diesel,White, Dubai,"2005 land-rover range-rover-sport with Rear camera, Bluetooth, Leather seats, Sunroof. Condition: Dented door."
4459,Land-Rover,Range-Rover,2010,43072.29,96015,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2010 land-rover range-rover with Navigation system, Adaptive cruise control, Sunroof, Rear camera. Condition: Dented door."
4460,Land-Rover,Range-Rover-Sport,2013,104528.34,276078,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2013 land-rover range-rover-sport with Bluetooth, Sunroof, Leather seats. Condition: Engine repaired."
4461,Land-Rover,Lr4,2016,8155.08,23708,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2016 land-rover lr4 with Sunroof, Leather seats, Adaptive cruise control. Condition: Minor scratches."
4462,Land-Rover,Range-Rover-Velar,2009,53894.97,90162,SUV,4,Automatic Transmission,Gasoline,Blue, Dubai,"2009 land-rover range-rover-velar with Adaptive cruise control, Bluetooth, Sunroof, Navigation system. Condition: Dented door."
4463,Land-Rover,Range-Rover,2006,83367.63,42345,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2006 land-rover range-rover with Rear camera, Leather seats, Navigation system. Condition: Repainted bumper."
4464,Land-Rover,Range-Rover-Evoque,2016,31587.3,166133,SUV,4,Automatic Transmission,Gasoline,Black, Dubai,"2016 land-rover range-rover-evoque with Sunroof, Navigation system, Adaptive cruise control. Condition: Engine repaired."
4465,Land-Rover,Range-Rover-Sport,2019,8078.94,266632,SUV,8,Automatic Transmission,Gasoline,Grey, Umm Al Qawain,"2019 land-rover range-rover-sport with Bluetooth, Adaptive cruise control, Navigation system, Leather seats. Condition: Minor scratches."
4466,Land-Rover,Range-Rover-Sport,2008,85651.02,297473,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2008 land-rover range-rover-sport with Leather seats, Bluetooth, Navigation system, Rear camera. Condition: Engine repaired."
4467,Land-Rover,Range-Rover,2009,68773.32,260018,SUV,6,Automatic Transmission,Gasoline,Burgundy, Dubai,"2009 land-rover range-rover with Sunroof, Adaptive cruise control, Rear camera. Condition: Repainted bumper."
4468,Land-Rover,Range-Rover,2008,127864.71,210209,SUV,6,Automatic Transmission,Gasoline,Blue, Dubai,"2008 land-rover range-rover with Sunroof, Navigation system. Condition: Repainted bumper."
4469,Land-Rover,Range-Rover-Sport,2021,14782.77,83891,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2021 land-rover range-rover-sport with Leather seats, Bluetooth. Condition: No damage."
4470,Land-Rover,Range-Rover,2024,7570.26,152718,SUV,8,Automatic Transmission,Gasoline,Silver, Dubai,"2024 land-rover range-rover with Adaptive cruise control, Leather seats, Navigation system. Condition: Repainted bumper."
